集計期間,計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
2022-07-25_2022-08-24,1,2022/08/23,物販,-336,【け】モバイルSuica (My JR-EAST ID),未分類,未分類,,0,_CAl1rAL6_2nVwHMmuh-Ag
2022-07-25_2022-08-24,1,2022/08/23,ポイント,446,Amazon.co.jp,収入,一時所得,,0,QjdzGRPMUrYsGS_I4yLZPQ
2022-07-25_2022-08-24,1,2022/08/23,魔入りました!入間くん 28 (少年チャンピオン・コミックス)[Kindle 版] 西修 販売: Amazon Services International LLC,-446,Amazon.co.jp,趣味・娯楽,本,,0,_cOA-GahHaGpxPzimze9dw
2022-07-25_2022-08-24,1,2022/08/23,ウジエスーパー小田原店,-3999,JCBカード,食費,食料品,,0,o3W5cgkkS5pEZWFVm66ANA
2022-07-25_2022-08-24,1,2022/08/22,普通預金利息,4,※解約済【ま】三井住友銀行,収入,その他入金,,0,Qlz7GCNqUPo4uRzHU4DDvA
2022-07-25_2022-08-24,1,2022/08/22,物販,-336,【け】モバイルSuica (My JR-EAST ID),未分類,未分類,,0,vovh0nLrVIFhctDwKp90TQ
2022-07-25_2022-08-24,1,2022/08/22,Amazonギフト券・Amazonショッピングカードの金額,213,Amazon.co.jp,収入,一時所得,,0,IYEQ9XfL051FnkGHWmC6wg
2022-07-25_2022-08-24,1,2022/08/22,【Amazon.co.jp 限定】BAKING MASTER 春よ恋100%国産小麦パン用強力粉 2kg 販売: アマゾンジャパン合同会社,-1139,Amazon.co.jp,食費,食料品,,0,TpDHrrO8eqt1jMKbdg5haA
2022-07-25_2022-08-24,1,2022/08/22,デジャヴュ アイブロウカラー 2 ナチュラルブラウン 1本1本固めず自然 ニュートラルカラーでどんな髪色やメイクにも合う 販売: アマゾンジャパン合同会社,-880,Amazon.co.jp,衣服・美容,化粧品,,0,7R9ay6lMyVQzel1jLqmZcQ
2022-07-25_2022-08-24,1,2022/08/22,利息,9,【け】みずほ銀行,収入,その他入金,,0,NCiuG6GVVh0mUgBNWY5AtA
2022-07-25_2022-08-24,0,2022/08/22,AMAZON.CO.JP,-1806,JCBカード,教養・教育,書籍,,1,Aq2pqNcE9hGSGY9AtonRhA
2022-07-25_2022-08-24,1,2022/08/22,ロヂャース 大成店,-1215,JCBカード,食費,食費,,0,bGKXTzqcc7lymXlvoBspMQ
2022-07-25_2022-08-24,1,2022/08/21,利息,1,【ま】住信SBIネット銀行,収入,その他入金,,0,4f4Wk_RQO790nYVgCA7YMg
2022-07-25_2022-08-24,1,2022/08/21,物販,-1021,【け】モバイルSuica (My JR-EAST ID),未分類,未分類,,0,syKNG64CbW6niJ8NssloFA
2022-07-25_2022-08-24,1,2022/08/21,マクドナルドモバイルオーダーキャッシュバック,1000,JCBカード,収入,その他入金,,0,9MgyiRq9K74Z2vKY5KhMKA
2022-07-25_2022-08-24,1,2022/08/21,利息,3,【け】住信SBIネット銀行,収入,その他入金,,0,ABlv0n5tuaKMPq8UqiS89A
2022-07-25_2022-08-24,1,2022/08/21,出光興産SS,-2272,JCBカード,自動車,ガソリン,,0,68zHnW6cc3OECc0vIffC3w
2022-07-25_2022-08-24,1,2022/08/20,ウジエスーパー小田原店,-1112,JCBカード,食費,食料品,,0,QTHByDu_ED0my-bEs-Oqkw
2022-07-25_2022-08-24,1,2022/08/20,無印良品,-2710,JCBカード,日用品,日用品,,0,PDqwTQrtpCEa23zL5RB8Vg
